Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number,Function [CC],Enzyme regulation
H6CBS5,H6CBS5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_09158,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),258,,,
H6BUK3,H6BUK3_EXODN,unreviewed,Cytochrome c oxidase subunit IV,HMPREF1120_03040,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),202,,,
H6BSU8,H6BSU8_EXODN,unreviewed,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),HMPREF1120_02423,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),510,1.1.1.49,FUNCTION: Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway; which represents a route for the dissimilation of carbohydrates besides glycolysis. {ECO:0000256|RuleBase:RU362120}.,
H6C1P2,H6C1P2_EXODN,unreviewed,F-type H+-transporting ATPase subunit G,HMPREF1120_05795,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),203,,,
H6BPR0,H6BPR0_EXODN,unreviewed,Flavin reductase,HMPREF1120_01847,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),235,,,
H6BRI5,H6BRI5_EXODN,unreviewed,Acyl-CoA dehydrogenase,HMPREF1120_02167,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),456,,,
H6BRX2,H6BRX2_EXODN,unreviewed,MFS transporter; DHA1 family; multidrug resistance protein,HMPREF1120_02964,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),567,,,
H6BXR2,H6BXR2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04664,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),188,,,
H6CBG0,H6CBG0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_09045,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),244,,,
H6BS82,H6BS82_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02312,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),415,,,
H6BSQ8,H6BSQ8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01604,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),340,,,
H6BV74,H6BV74_EXODN,unreviewed,Aminopeptidase I,HMPREF1120_03146,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),509,,,
H6BVC7,H6BVC7_EXODN,unreviewed,DNA repair protein rhp51,HMPREF1120_03973,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),349,,,
H6BZB8,H6BZB8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05037,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),721,,,
H6C4H6,H6C4H6_EXODN,unreviewed,Glucose 1-dehydrogenase,HMPREF1120_05678,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),317,,,
H6BQP1,H6BQP1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02748,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),461,,,
H6C592,H6C592_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07786,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),122,,,
H6BXT5,H6BXT5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05461,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),749,,,
H6C8H1,H6C8H1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08362,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),873,,,
H6BSP7,H6BSP7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01593,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),226,,,
H6C725,H6C725_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07509,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),108,,,
H6BJY4,H6BJY4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00650,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),560,,,
H6BKQ9,H6BKQ9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00902,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),367,,,
H6BL45,H6BL45_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01000,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),66,,,
H6BXW7,H6BXW7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05491,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),371,,,
H6C1Z7,H6C1Z7_EXODN,unreviewed,Salicylate hydroxylase,HMPREF1120_05847,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),447,,,
H6C2C0,H6C2C0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05914,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),389,,,
H6C2P8,H6C2P8_EXODN,unreviewed,Elongation factor 2,HMPREF1120_05986,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),843,,,
H6C6H3,H6C6H3_EXODN,unreviewed,Alcohol dehydrogenase,HMPREF1120_07311,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),345,,,
H6C744,H6C744_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07528,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),268,,,
H6C911,H6C911_EXODN,unreviewed,Protochlorophyllide reductase,HMPREF1120_08543,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),391,,,
H6CAM1,H6CAM1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08155,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),308,,,
H6BL97,H6BL97_EXODN,unreviewed,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase),HMPREF1120_00069,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),379,2.5.1.54,FUNCTION: Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP). {ECO:0000256|PIRNR:PIRNR001361}.,
H6BZT0,H6BZT0_EXODN,unreviewed,Alpha/beta hydrolase,HMPREF1120_05183,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),488,,,
H6C042,H6C042_EXODN,unreviewed,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),HMPREF1120_04408,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1152,1.1.1.34,,
H6C6V9,H6C6V9_EXODN,unreviewed,Paxillin,HMPREF1120_07444,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1189,,,
H6BPF8,H6BPF8_EXODN,unreviewed,Arylalkylamine N-acetyltransferase,HMPREF1120_02586,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),313,,,
H6BVV7,H6BVV7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03264,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),295,,,
H6C612,H6C612_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07156,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),244,,,
H6BQB0,H6BQB0_EXODN,unreviewed,Alpha-N-arabinofuranosidase,HMPREF1120_01963,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),443,,,
H6BYL4,H6BYL4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04796,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),402,,,
H6C2A8,H6C2A8_EXODN,unreviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (EC 2.4.99.18),HMPREF1120_05903,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),519,2.4.99.18,FUNCTION: Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. {ECO:0000256|RuleBase:RU361143}.,
H6C8Z3,H6C8Z3_EXODN,unreviewed,40S ribosomal protein S14,HMPREF1120_08525,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),151,,,
H6C028,H6C028_EXODN,unreviewed,Phosphoglycolate phosphatase,HMPREF1120_05225,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),248,,,
H6C9A0,H6C9A0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07843,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),71,,,
H6BLU6,H6BLU6_EXODN,unreviewed,Isoleucyl-tRNA synthetase,HMPREF1120_00158,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),508,,,
H6BQU5,H6BQU5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02039,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),421,,,
H6BTP1,H6BTP1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03602,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),486,,,
H6BV70,H6BV70_EXODN,unreviewed,MFS transporter; ACS family; allantoate permease,HMPREF1120_03142,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),513,,,
H6C1L4,H6C1L4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06612,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),132,,,
H6C7C4,H6C7C4_EXODN,unreviewed,Dihydrodipicolinate synthetase,HMPREF1120_07605,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),318,,,
H6CAS9,H6CAS9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08820,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),304,,,
H6C7R2,H6C7R2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07687,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),753,,,
H6BV91,H6BV91_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03162,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),330,,,
H6C4R4,H6C4R4_EXODN,unreviewed,[3-methyl-2-oxobutanoate dehydrogenase (Acetyl-transferring)] kinase,HMPREF1120_05712,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),492,,,
H6C9G8,H6C9G8_EXODN,unreviewed,MFS transporter; DHA1 family; multidrug resistance protein,HMPREF1120_07856,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),546,,,
H6C9G3,H6C9G3_EXODN,unreviewed,Phosphotransferase (EC 2.7.1.-),HMPREF1120_07851,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),489,2.7.1.-,,
H6C274,H6C274_EXODN,unreviewed,DNA-directed RNA polymerase subunit (EC 2.7.7.6),HMPREF1120_06710,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1581,2.7.7.6,FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000256|RuleBase:RU004279}.,
H6C1L2,H6C1L2_EXODN,unreviewed,RpsU-divergently transcribed protein,HMPREF1120_06610,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),198,,,
H6CAX1,H6CAX1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08861,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),230,,,
H6BU62,H6BU62_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03769,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),380,,,
H6BYZ5,H6BYZ5_EXODN,unreviewed,3-hydroxyacyl-CoA dehydrogenase,HMPREF1120_04922,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),293,,,
H6C2S6,H6C2S6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06803,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),175,,,
H6BLH4,H6BLH4_EXODN,unreviewed,Dolichol kinase,HMPREF1120_00090,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),905,,,
H6BMY0,H6BMY0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01304,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),510,,,
H6BP26,H6BP26_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01447,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),777,,,
H6BPJ2,H6BPJ2_EXODN,unreviewed,Dynactin 5,HMPREF1120_01783,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),221,,,
H6BQ78,H6BQ78_EXODN,unreviewed,Beta-1;4-mannosyltransferase,HMPREF1120_01932,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),448,,,
H6BSA9,H6BSA9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02339,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),139,,,
H6BTB7,H6BTB7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01704,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1075,,,
H6BUC3,H6BUC3_EXODN,unreviewed,Fructosamine-3-kinase,HMPREF1120_03015,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),342,,,
H6BYN9,H6BYN9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04819,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),257,,,
H6C0Y5,H6C0Y5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05365,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),362,,,
H6C590,H6C590_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07783,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),429,,,
H6C874,H6C874_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08268,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),195,,,
H6C9S5,H6C9S5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07904,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),331,,,
H6CB41,H6CB41_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08929,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),145,,,
H6BW54,H6BW54_EXODN,unreviewed,Endo-1;3(4)-beta-glucanase,HMPREF1120_03304,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),364,,,
H6BL09,H6BL09_EXODN,unreviewed,Nucleolin,HMPREF1120_00966,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),481,,,
H6BQQ9,H6BQQ9_EXODN,unreviewed,Oxidoreductase,HMPREF1120_02766,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),615,,,
H6BVK6,H6BVK6_EXODN,unreviewed,Dihydroxyacetone kinase,HMPREF1120_03220,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),588,,,
H6C926,H6C926_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08556,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),319,,,
H6CB38,H6CB38_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08926,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),587,,,
H6BMB0,H6BMB0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01192,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1217,,,
H6BNW7,H6BNW7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00599,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),158,,,
H6BX28,H6BX28_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03456,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),423,,,
H6BXR3,H6BXR3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04666,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),622,,,
H6C7F1,H6C7F1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07632,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),176,,,
H6C823,H6C823_EXODN,unreviewed,Enoyl-CoA hydratase,HMPREF1120_08218,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),281,,,
H6CAH5,H6CAH5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08111,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),830,,,
H6CC38,H6CC38_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_09269,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),109,,,
H6BZ39,H6BZ39_EXODN,unreviewed,Rho guanine nucleotide exchange factor (GEF) 4,HMPREF1120_04966,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1229,,,
H6BUB5,H6BUB5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03007,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),862,,,
H6C200,H6C200_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05850,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),468,,,
H6C3V9,H6C3V9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06336,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1287,,,
H6C4T5,H6C4T5_EXODN,unreviewed,50S ribosomal protein L18e,HMPREF1120_06522,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),189,,,
H6BN67,H6BN67_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01334,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1007,,,
H6BNN4,H6BNN4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01416,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1262,,,
H6BNV5,H6BNV5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00504,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),418,,,
H6BPQ0,H6BPQ0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01840,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),676,,,
H6BR30,H6BR30_EXODN,unreviewed,Glutamine synthetase,HMPREF1120_02832,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),983,,,
H6BSM6,H6BSM6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01572,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),601,,,
H6BTC5,H6BTC5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01710,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),321,,,
H6BU20,H6BU20_EXODN,unreviewed,MFS transporter; MCP family; solute carrier family 16 (Monocarboxylic acid transporters); member 10,HMPREF1120_03728,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),418,,,
H6BWL3,H6BWL3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04177,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),190,,,
H6BYS9,H6BYS9_EXODN,unreviewed,2;3-dihydro-2;3-dihydroxybenzoate dehydrogenase,HMPREF1120_04858,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),269,,,
H6C4A3,H6C4A3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06449,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),142,,,
H6C551,H6C551_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07746,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),912,,,
H6C5J4,H6C5J4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07832,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),450,,,
H6C6Y8,H6C6Y8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07472,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),239,,,
H6C7I3,H6C7I3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07664,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),279,,,
H6BL82,H6BL82_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00054,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),301,,,
H6BMM4,H6BMM4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01252,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),710,,,
H6BQT8,H6BQT8_EXODN,unreviewed,Mannosyltransferase (EC 2.4.1.-),HMPREF1120_02032,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),613,2.4.1.-,,
H6BSY4,H6BSY4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01626,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),239,,,
H6BWB1,H6BWB1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04133,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),540,,,
